Timestamp,Station,District,Route,Direction of travel,Lane type,Station length,Samples,% Observed,total_flow,Delay(V_t=35),Delay(V_t=40),Delay(V_t=45),Delay(V_t=50),Delay(V-t=55),Delay(V_t=60)
5/1/2023 0:00,308511,3,50,E,ML,3.134,5734,50,8634,0,0,0,0,0,0
5/1/2023 0:00,308512,3,50,W,ML,3.995,3798,0,29993,0,0,0,0,0,7.9
5/1/2023 0:00,311832,3,5,S,FR,,0,0,,,,,,,
5/1/2023 0:00,311844,3,5,N,OR,,8610,67,10179,,,,,,
5/1/2023 0:00,311847,3,5,N,OR,,8601,67,6624,,,,,,
5/1/2023 0:00,311864,3,5,N,FR,,2867,0,,,,,,,
5/1/2023 0:00,311903,3,50,E,ML,0.883,8361,0,51961,2.3,6.1,11,15.6,20,28.8
5/1/2023 0:00,311930,3,50,E,FF,,8362,99,59954,,,,,,
5/1/2023 0:00,311973,3,50,E,OR,,2817,99,3654,,,,,,
5/1/2023 0:00,311974,3,50,E,ML,0.466,11235,0,116957,11.2,29,47.1,64.3,82.5,108.5
5/1/2023 0:00,312009,3,50,E,FR,,5634,49,3280,,,,,,
5/1/2023 0:00,312010,3,50,W,ML,1.218,5715,40,183048,45,67.5,96.6,139.8,219.4,352
5/1/2023 0:00,312011,3,50,W,OR,,5708,100,9145,,,,,,
5/1/2023 0:00,312012,3,50,W,FR,,2854,0,,,,,,,
5/1/2023 0:00,312098,3,50,E,ML,0.483,5477,49,59752,0,0,0,0.1,1.3,4.2
5/1/2023 0:00,312099,3,50,E,OR,,2739,98,6180,,,,,,
5/1/2023 0:00,312103,3,50,W,ML,0.954,7277,0,123763,0,0,2.5,8.9,21.2,63.4
5/1/2023 0:00,312104,3,50,W,OR,,2759,0,,,,,,,
5/1/2023 0:00,312105,3,50,W,FR,,5518,0,,,,,,,
5/1/2023 0:00,312108,3,50,W,FR,,2739,0,,,,,,,
5/1/2023 0:00,312132,3,5,S,ML,1.347,0,0,19259,0,0,0,0,0,0
5/1/2023 0:00,312133,3,5,N,ML,1.09,8601,0,58059,0,0,0,0,0,7.4
5/1/2023 0:00,312134,3,5,N,ML,1.342,5740,0,19259,0,0,0,0,0,0
5/1/2023 0:00,312139,3,50,E,ML,0.454,15,0,116957,10.9,28.3,46,62.6,80.5,105.9
5/1/2023 0:00,312141,3,50,E,OR,,5420,97,8983,,,,,,
5/1/2023 0:00,312142,3,50,W,FR,,5420,0,,,,,,,
5/1/2023 0:00,312188,3,50,W,ML,0.692,0,0,88835,0,0,0.2,3.2,11.6,31.9
5/1/2023 0:00,312189,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,312205,3,50,W,ML,0.468,0,0,88835,0,0,0.2,2.2,7.8,21.5
5/1/2023 0:00,312207,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,312208,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,312220,3,50,W,ML,0.69,0,0,80710,0,0,0,0,0.8,10.2
5/1/2023 0:00,312221,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,312233,3,99,N,ML,0.643,8622,100,55334,0,0,0.4,0.7,1.5,2.5
5/1/2023 0:00,312236,3,50,W,ML,0.281,8611,0,88835,0,0,0.1,1.3,4.7,12.9
5/1/2023 0:00,312247,3,50,W,OR,,5746,0,,,,,,,
5/1/2023 0:00,312264,3,50,W,ML,0.394,0,0,80710,0,0,0,0,0.5,6
5/1/2023 0:00,312265,3,50,W,OR,,0,0,,,,,,,
5/1/2023 0:00,312326,3,80,W,ML,0.404,11496,100,69709,0,0,0,0.8,5.5,15.6
5/1/2023 0:00,312327,3,80,W,OR,,5752,100,12624,,,,,,
5/1/2023 0:00,312343,3,80,E,ML,0.429,0,0,74342,1.2,4.1,6.9,9.7,19.3,44.5
5/1/2023 0:00,312344,3,80,E,OR,,0,0,,,,,,,
5/1/2023 0:00,312345,3,80,E,FR,,0,0,,,,,,,
5/1/2023 0:00,312346,3,80,W,ML,0.459,8622,100,63336,0.3,1,2.2,7.1,16.6,31.1
5/1/2023 0:00,312347,3,80,W,OR,,5752,100,4639,,,,,,
5/1/2023 0:00,312382,3,99,N,ML,0.367,0,0,41737,0,0,0,0,0.1,0.6
5/1/2023 0:00,312383,3,99,N,OR,,0,0,,,,,,,
5/1/2023 0:00,312386,3,99,N,ML,0.373,8463,100,64639,0,0,0.1,0.2,0.3,0.4
5/1/2023 0:00,312387,3,99,N,OR,,5642,100,7129,,,,,,
5/1/2023 0:00,312388,3,99,N,ML,0.202,8536,100,70439,1.5,2.4,3.3,4.1,5.1,7.2
5/1/2023 0:00,312420,3,99,S,ML,0.322,8623,100,71049,7.1,12.9,19.5,26.9,37,52.6
5/1/2023 0:00,312421,3,99,N,ML,0.46,8618,100,74111,4.3,9.3,15.2,22.6,37.3,59.4
5/1/2023 0:00,312422,3,99,N,ML,0.37,8621,100,63395,17.7,23.3,28.5,33.5,39.2,49.8
5/1/2023 0:00,312423,3,99,N,OR,,2874,100,5556,,,,,,
5/1/2023 0:00,312424,3,99,N,FR,,2874,100,6108,,,,,,
5/1/2023 0:00,312425,3,99,N,ML,0.349,8620,100,65423,24,30.6,36.4,41.5,47.6,57
5/1/2023 0:00,312426,3,99,N,OR,,5750,100,12683,,,,,,
5/1/2023 0:00,312427,3,99,N,FR,,2875,100,3834,,,,,,
